grade,class,number,name,status_example,memo
3,4,3,QA학생-3-04-03,pending,대기 학급 예시
3,4,4,QA학생-3-04-04,pending,대기 학급 예시
3,5,1,QA학생-3-05-01,pending,대기 학급 예시
3,5,2,QA학생-3-05-02,pending,대기 학급 예시
3,5,3,QA학생-3-05-03,pending,대기 학급 예시
3,5,4,QA학생-3-05-04,pending,대기 학급 예시
3,6,1,QA학생-3-06-01,pending,대기 학급 예시
3,6,2,QA학생-3-06-02,pending,대기 학급 예시
3,6,3,QA학생-3-06-03,pending,대기 학급 예시
3,6,4,QA학생-3-06-04,pending,대기 학급 예시
3,7,1,QA학생-3-07-01,pending,대기 학급 예시
3,7,2,QA학생-3-07-02,pending,대기 학급 예시
3,7,3,QA학생-3-07-03,pending,대기 학급 예시
3,7,4,QA학생-3-07-04,pending,대기 학급 예시
3,8,1,QA학생-3-08-01,pending,대기 학급 예시
3,8,2,QA학생-3-08-02,pending,대기 학급 예시
3,8,3,QA학생-3-08-03,pending,대기 학급 예시
3,8,4,QA학생-3-08-04,pending,대기 학급 예시
3,9,1,QA학생-3-09-01,pending,대기 학급 예시
3,9,2,QA학생-3-09-02,pending,대기 학급 예시
3,9,3,QA학생-3-09-03,pending,대기 학급 예시
3,9,4,QA학생-3-09-04,pending,대기 학급 예시
3,10,1,QA학생-3-10-01,pending,대기 학급 예시
3,10,2,QA학생-3-10-02,pending,대기 학급 예시
3,10,3,QA학생-3-10-03,pending,대기 학급 예시
3,10,4,QA학생-3-10-04,pending,대기 학급 예시
3,11,1,QA학생-3-11-01,pending,대기 학급 예시
3,11,2,QA학생-3-11-02,pending,대기 학급 예시
3,11,3,QA학생-3-11-03,pending,대기 학급 예시
3,11,4,QA학생-3-11-04,pending,대기 학급 예시
3,12,1,QA학생-3-12-01,pending,대기 학급 예시
3,12,2,QA학생-3-12-02,pending,대기 학급 예시
3,12,3,QA학생-3-12-03,pending,대기 학급 예시
3,12,4,QA학생-3-12-04,pending,대기 학급 예시
